id;r1;r2;r3;dist1
56153;3482977;-9.99612;1.98851;0.012127428
133501;4238284;-9.98953;2.01599;0.019112849
67517;4478933;-10.0146;2.01383;0.020110418
129586;6009684;-10.0003;2.02043;0.020432203
320220;3569400;-9.99759;1.97937;0.020770291
259664;3129769;-9.98081;2.01113;0.022184071
337393;2699552;-9.99263;2.02115;0.022397308
260932;1028965;-9.98171;2.01298;0.022427762
14601;1841616;-9.97701;1.99226;0.024257941
89455;2246087;-9.99424;2.02427;0.024944148
323737;3970354;-9.97827;2.01281;0.02522477
11941;4833396;-9.9806;2.0183;0.026669271
177837;4108512;-10.0102;2.02741;0.029246335
55035;2240158;-10.0217;1.97796;0.030929785
230083;3174387;-10.0018;2.03197;0.032020632
133714;1258404;-10.0164;1.97053;0.033725968
100992;5667608;-9.9672;1.98487;0.036121419
296778;5311905;-9.96305;1.99691;0.037078978
305095;3910725;-10.0297;2.0236;0.037934813
220692;3913482;-9.99822;1.95951;0.040529107
281548;4057236;-10.0069;1.95983;0.040758299
262900;3923593;-10.0252;2.03217;0.040865008
78314;4272125;-10.042;1.99592;0.042197706
313669;5797207;-9.98323;1.95967;0.043677704
352343;2832695;-10.0286;1.96426;0.04577453
331522;3419995;-10.0364;1.97115;0.046446555
266935;5049637;-10.0466;2.00781;0.047249932
319283;5644661;-10.0307;1.95738;0.05252575
222354;3857868;-9.96372;1.96145;0.052937141
183636;1932443;-9.99675;2.05311;0.053209347
145518;4956233;-10.0373;1.96091;0.054030714
1147;5600519;-10.0529;2.0133;0.054546311
96357;1539728;-9.94738;1.98415;0.054955317
304522;2071575;-10.0488;1.97202;0.056252292
54931;4325847;-10.0557;2.0087;0.056375349
329663;2052230;-10.0073;2.05641;0.056880384
144097;3447760;-9.99638;1.9423;0.057813445
3744;2895132;-10.0176;2.0552;0.057937898
165504;2365570;-10.0082;2.05791;0.058487675
211215;5242545;-9.98452;2.05657;0.058649768
140241;1360936;-9.94523;2.02388;0.059749538
189981;3978523;-10.0497;2.0364;0.061603977
33480;2747466;-9.94214;2.02463;0.062884151
239516;3093695;-9.97847;1.94091;0.062890134
250976;5183956;-9.94708;2.03566;0.063813494
227734;2231588;-10.0375;2.0525;0.06451744
289538;4307084;-10.0621;1.98169;0.064743078
275668;5869778;-10.0343;2.05608;0.065737785
186001;2021372;-9.9478;2.0402;0.065885355
327691;4798717;-10.0582;2.03275;0.066781753
32314;3971372;-10.0199;2.06453;0.067528741
229705;3078923;-9.94224;1.96492;0.067578281
56904;5765222;-9.98497;2.06619;0.06787501
274827;4706510;-9.99834;1.93154;0.068480123
283799;5734240;-9.95477;2.05202;0.068933543
176862;5902592;-9.94163;1.96288;0.069173342
55096;3465808;-9.98988;2.06916;0.069896495
280531;2144518;-10.0673;2.02083;0.070449833
354224;5299257;-10.0182;1.93137;0.071002232
128416;3282870;-9.97178;2.06569;0.071495066
283773;2172282;-9.99384;1.92852;0.071744937
274469;2954334;-10.0143;1.92963;0.071808265
99987;4251786;-10.0646;1.96329;0.074301979
60775;1553806;-10.0254;1.92913;0.075284241
5891;1900559;-10.0114;2.07458;0.075446248
355122;3174976;-9.92454;2.00075;0.075463727
74640;2603832;-10.0177;1.92641;0.075688692
344502;3681653;-10.0499;2.05795;0.076473607
83786;3165423;-9.93269;1.96291;0.076852483
337035;2506219;-9.95699;1.93616;0.076976657
77796;2010162;-10.0592;1.95044;0.077206435
83390;5363947;-10.0294;1.9284;0.077401034
83432;2488256;-10.0014;2.07791;0.077922578
39985;3890996;-9.99368;1.92211;0.078145982
77650;3949075;-9.94221;1.94724;0.078251528
319330;4728769;-10.078;1.98895;0.07877882
15508;5192349;-9.95314;1.93661;0.078829891
357453;2673928;-10.0518;2.06011;0.079350187
72055;5009729;-9.95961;1.93135;0.079650327
16967;5248922;-9.92507;1.96915;0.081032261
106505;1784876;-9.94105;2.05565;0.081068027
352804;4715946;-10.0596;1.94503;0.081079349
137172;2569363;-9.93786;1.94742;0.081400467
118192;2797641;-10.052;2.06372;0.08224499
87438;2609809;-9.93451;1.94914;0.082919718
225601;4693692;-10.053;1.93478;0.084039564
193948;4092080;-10.0756;1.96312;0.084115958
103809;5767936;-10.0661;1.94742;0.084462219
109035;4277735;-9.91625;1.98854;0.084530433
95422;2788789;-9.9719;1.92009;0.084706659
137349;5869693;-10.0014;2.08515;0.085161508
70327;5693933;-10.0855;2.00108;0.085506821
116833;1930798;-10.0025;1.91415;0.085886393
59752;1559204;-10.0566;1.93355;0.087287814
118867;5642787;-9.9532;1.92585;0.087683878
204445;5402817;-9.94162;1.93392;0.088174774
323664;3111265;-9.91588;2.02661;0.08822849
224351;1610832;-9.92723;1.94949;0.088581787
190229;2987345;-10.0873;1.98304;0.088932174
301237;3535233;-10.0867;1.97986;0.08900848
226439;1375877;-9.91693;1.96646;0.08958547
148345;4103424;-10.0894;2.00807;0.089763494
154283;5638747;-9.93485;2.06211;0.09001208
96779;2580550;-9.92241;1.95427;0.090063539
77012;1090792;-10.0015;2.09008;0.090092488
221788;5203797;-10.0195;1.91177;0.090359188
322708;1876666;-10.0722;1.945;0.090762547
42146;2655535;-9.93291;1.93839;0.091087102
64464;3721556;-10.062;2.06824;0.092199228
59100;2738382;-9.99438;1.90789;0.09228129
86269;4476337;-10.049;2.07824;0.092317374
239913;4650521;-10.0687;2.06184;0.092433087
151008;3930946;-10.0248;1.91093;0.092458125
211273;4638923;-9.96979;1.91257;0.092502157
113197;1339869;-10.0642;1.93306;0.092750222
18045;1860417;-9.91889;2.04623;0.093359761
183417;2978965;-10.0845;1.95599;0.095273974
99756;3957226;-10.0923;1.97631;0.09529169
285015;1336944;-9.90624;1.98165;0.095538788
119260;4765442;-10.0942;2.01784;0.095874426
249729;4464223;-10.0964;2.00478;0.096518436
282291;2288103;-9.92827;1.93527;0.096618662
284021;2717364;-10.0338;1.90945;0.09665269
147807;4426054;-10.0317;2.09174;0.097062442
329932;2524367;-10.0233;2.09455;0.097378604
169694;4128303;-10.0761;1.93905;0.097499295
259707;3947745;-10.0784;1.94075;0.098270659
347409;5276760;-10.0679;2.07115;0.098350051
171644;4851298;-10.0861;1.95139;0.098874375
93287;2804787;-10.0695;2.07034;0.098883596
34564;1492365;-10.0341;2.09319;0.099232989
288271;5788021;-10.0136;2.09873;0.099662294
241506;5407685;-10.0465;2.08851;0.099981349
73572;3207266;-10.0913;1.9561;0.101305972
34298;1754938;-10.0871;1.94787;0.101508359
193802;3524677;-9.90528;2.03738;0.101828988
110812;3285747;-10.0695;1.92461;0.102537321
29926;4042712;-9.96221;1.90456;0.102649295
79813;3569759;-9.90436;2.03806;0.102934801
259968;1780868;-9.94539;2.08813;0.103678103
96975;4723757;-9.90203;1.96511;0.103997274
142414;3182816;-9.9958;1.89557;0.104514424
129596;2398749;-10.0993;1.96691;0.104668229
169196;3414618;-9.98461;1.89635;0.104786328
311587;1571415;-10.091;1.9477;0.104958516
166647;4381267;-9.89631;2.01705;0.105082437
26482;4986274;-10.0471;1.90519;0.105864754
327804;4165280;-9.9183;1.93206;0.106257864
313178;2823165;-9.96883;2.1017;0.106369445
229446;1282033;-10.0759;2.07499;0.106697283
47408;3408088;-10.1067;1.99656;0.106755438
180325;2876815;-9.89295;2.00257;0.107080845
176096;2669832;-9.96702;2.10201;0.107208771
124680;2748627;-9.93249;2.08339;0.107291622
322063;3739480;-10.0942;2.05149;0.107353901
158568;2853452;-9.91231;1.93688;0.108044762
45099;1350284;-10.0551;2.09321;0.108277948
186774;3114120;-10.1078;1.98705;0.108575055
54534;5723331;-10.0076;2.10876;0.109025215
62064;3947568;-10.1075;2.0251;0.110391395
340859;3590791;-10.0777;2.07938;0.111078686
71573;6013088;-9.95921;1.89615;0.111573503
344415;3791259;-9.93636;1.90815;0.111742884
55222;5947991;-10.0679;1.91022;0.112564907
138216;4870609;-9.93007;1.91119;0.113037255
87991;5948388;-10.0668;2.09251;0.114106705
356238;2163348;-9.92834;2.0903;0.11527899
60950;4015419;-10.0862;1.92144;0.1166281
232680;5517297;-9.89281;2.04602;0.116651346
15230;4198002;-10.1166;2.00992;0.117021222
284549;5174634;-10.1085;2.04526;0.117561548
26690;3889854;-10.0856;2.08074;0.117670334
106141;1143239;-10.0991;2.06362;0.117763808
36630;1629798;-9.9372;1.89863;0.119246454
106457;1757069;-10.003;1.88068;0.119357708
254464;4975099;-9.8842;2.02912;0.119405253
39919;1639265;-10.0614;2.10263;0.119594636
149894;5304862;-9.88706;1.95874;0.120240722
145585;1214675;-9.99718;1.87968;0.120353042
230606;2038717;-10.1115;2.04558;0.120456575
227071;2650652;-10.118;2.02695;0.121038434
248383;3200558;-9.93093;2.09949;0.121115338
144557;4247317;-10.0196;1.88045;0.121146038
202671;1570238;-10.1159;2.03688;0.121626249
148253;5778355;-9.87819;1.99244;0.122044376
264910;2390672;-9.96501;2.11699;0.122110443
8657;2884257;-10.0558;2.10899;0.122443702
322771;1626711;-9.89098;1.94424;0.122452187
13172;5623951;-9.99534;2.12237;0.122458697
347011;3739561;-10.0623;1.89439;0.122616321
17762;1510326;-10.0982;2.07524;0.12371054
348646;3917781;-10.089;2.08603;0.123782716
346638;5049612;-9.8769;1.98627;0.123863323
142217;4010801;-10.0824;1.90643;0.12468001
97843;3330970;-10.0276;2.12226;0.125336617
27924;1969947;-9.87617;1.97917;0.125569733
227546;1886739;-10.1223;1.97091;0.125712044
96511;5640657;-10.1255;2.00814;0.125763705
172539;5086627;-9.88813;1.94164;0.126177599
28755;2218290;-10.1221;1.96815;0.126185706
67088;5346148;-9.96391;2.12186;0.127091887
5594;4300124;-10.04;2.12099;0.127430687
304562;4907179;-10.082;2.09848;0.128149563
339901;2827703;-9.92145;2.10176;0.12855038
302915;5460983;-9.91779;1.90116;0.128560607
107857;3857631;-10.1267;1.97692;0.128785001
115320;1329048;-10.0713;2.10742;0.12892923
51003;3811978;-10.016;1.87179;0.129204505
241665;5057472;-10.0737;1.89374;0.129316966
136176;5633669;-9.87179;1.98284;0.129353275
218580;3948262;-9.94418;1.88276;0.12985026
133328;3835277;-10.104;1.92207;0.129958012
51996;4010626;-10.0094;1.86989;0.130449117
121454;2794272;-10.1148;1.9378;0.13056753
361679;3095402;-10.0166;1.87036;0.130698468
284496;5107484;-9.98476;1.86988;0.131009435
272599;3808611;-10.0322;2.1271;0.131115407
240460;3438562;-10.0082;1.86897;0.131286332
110713;5733150;-10.0703;2.1114;0.13172718
159069;4531867;-10.1315;1.989;0.131959274
72181;4037685;-9.86797;2.00557;0.13214744
149189;1250695;-10.0708;2.11184;0.132366256
294223;5077104;-10.1145;2.06642;0.132370187
348002;1483868;-10.1124;2.07122;0.133064076
244272;2462138;-10.133;2.00617;0.133143039
205516;5233122;-9.87221;1.96217;0.133271876
79847;2238702;-10.0339;2.12919;0.133563716
347224;4554687;-10.0875;2.1011;0.133706619
111615;2758567;-10.0771;2.10964;0.134034845
